Player,Team,REC,YDS,TDS,ATT,YDS,TDS,FL,FPTS
Damiere Byrd,NE,3.3,41.9,0.2,0,0.1,0,0,8.5
,high,4.4,51.3,0.4,0.1,0.7,0,0,9.3
,low,2.4,33,0,0,0,0,0.1,7.6
Scotty Miller,TB,3,42.1,0.2,0.3,1.4,0,0,8.4
,high,5,61,0.5,0.4,2.1,0,0,12
,low,1.2,14.9,0,0.1,0.3,0,0,5.1
Michael Gallup,DAL,3,47.4,0.1,0,0,0,0,8.4
,high,3.8,62,0.2,0,0.1,0,0,9.2
,low,2.6,39,0,0,0,0,0,6.9
Marquez Valdes-Scantling,GB,2.9,44.7,0.1,0.3,2,0,0,8.4
,high,3.8,65,0.2,0.8,4.8,0,0,10.6
,low,2.3,36.1,0,0.1,0.7,0,0,6.7
Michael Pittman Jr.,IND,3.3,40.6,0.1,0.1,0.6,0,0,8.1
,high,4,48,0.3,0.2,1.2,0,0,9.6
,low,2.4,29.5,0,0,0,0,0.1,7.4
Trent Taylor,SF,3.5,38.4,0.1,0,0.1,0,0,8
,high,6,55.4,0.3,0,0.5,0,0,10.5
,low,1.1,10.4,0,0,0,0,0.1,5.1
Nelson Agholor,LV,3,38.2,0.2,0.1,0.5,0,0,8
,high,4.7,55,0.4,0.2,1.4,0,0,9.8
,low,1.5,22,0,0,0,0,0,6.2
Tre'Quan Smith,NO,2.8,36.1,0.2,0,0.1,0,0,7.6
,high,3.8,55,0.5,0,0.2,0,0,11.4
,low,1.8,22.9,0,0,0,0,0,5.2
Larry Fitzgerald,ARI,3.3,34.5,0.1,0,0,0,0,7.6
,high,4.2,42.3,0.3,0,0.1,0,0,8.4
,low,2,30,0,0,0,0,0,6.4
Dontrelle Inman,WAS,2.8,36.4,0.1,0,0,0,0,7.1
,high,3.5,45,0.2,0,0,0,0,8.5
,low,2.2,27.8,0,0,0,0,0,8.5
David Moore,SEA,2.3,32.2,0.2,0.3,2.5,0,0,7
,high,3,41.1,0.4,0.6,4.1,0,0,8.6
,low,1.6,25,0,0.1,0.7,0,0,5.4
Chris Hogan,NYJ,2.9,33,0.1,0,0,0,0,6.8
,high,2.9,33,0.1,0,0,0,0,6.6
,low,2.9,33,0.1,0,0,0,0,6.6
Steven Sims,WAS,2.6,33.2,0.1,0.2,1.3,0,0.1,6.7
