Player,Team,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
D'Onta Foreman,TEN,4.9,20.7,0.1,1.1,5.4,0,0,3.9
,high,5.9,22.4,0.1,1.8,6.8,0,0,4
,low,3.9,19,0,0.4,4.1,0,0.1,4
Jeremy McNichols,TEN,3.9,17.6,0.1,1,6.6,0,0,3.9
,high,7.9,33.6,0.1,2.2,10.7,0.1,0,5
,low,0.3,1,0,0.2,1.2,0,0.1,2
Devontae Booker,LV,4,17.3,0,1,6.8,0,0,3.7
,high,7,29,0.1,2,13.1,0.1,0,4.3
,low,2.5,10,0,0.5,4,0,0.1,2.8
Kerryon Johnson,DET,2.8,12,0.1,1.2,8.1,0,0,3.7
,high,8.8,31.2,0.1,2,15,0.1,0,5.1
,low,0.7,3,0,0.2,1.5,0,0.1,2.1
Ke'Shawn Vaughn,TB,3,9.9,0.1,1.1,8.5,0.1,0,3.7
,high,4.1,12,0.1,1.7,19,0.2,0,5.3
,low,1.8,6.7,0,0.3,2.8,0,0,2.6
Darrel Williams,KC,2.8,9.3,0.1,1.2,7.2,0,0,3.6
,high,5.1,15.2,0.2,2.4,12,0.2,0,5.1
,low,1.7,7,0,0.2,1.6,0,0,2.5
Salvon Ahmed,MIA,3.2,12.5,0.1,1,6.7,0,0,3.5
,high,5.9,23.8,0.2,2,17.7,0.1,0,6.9
,low,1.5,6.5,0,0.3,2.1,0,0.1,2.3
Alfred Morris,NYG,5.8,23.7,0.1,0.6,2.6,0,0.1,3.5
,high,6.7,32.9,0.2,1.7,5.8,0,0,4.3
,low,5,19.6,0,0,0,0,0.1,3
Benny Snell Jr.,PIT,5.9,22.5,0.1,0.6,1.8,0,0.1,3.5
,high,11.8,44,0.2,1.6,3,0,0,4.4
,low,2.5,10.5,0,0.1,0.3,0,0.1,2.6
Royce Freeman,DEN,4.1,11.6,0,1.3,6.4,0,0,3.4
,high,5.5,17.1,0.1,1.7,8,0.1,0,3.6
,low,2.7,7.7,0,0.7,5.3,0,0,3
Darrynton Evans,TEN,2.8,12,0.1,0.9,7.7,0.1,0.1,3.3
,high,2.8,13.9,0.1,1.2,11.3,0.1,0,4.6
,low,2.7,10,0,0.5,4,0,0.1,2.6
Malcolm Perry,MIA,1,4.4,0,1.3,9,0.1,0,3.2
,high,1,4.4,0,1.3,9,0.1,0,3.2
,low,1,4.4,0,1.3,9,0.1,0,3.2
Peyton Barber,WAS,5.1,16.3,0.1,0.5,2.3,0,0,3.1
,high,7.9,21.6,0.2,1.5,3.5,0,0,4.2
,low,3.3,8,0,0.2,1.2,0,0.1,1.9
Ty Johnson,NYJ,3.1,15.2,0,0.9,3.7,0,0.1,2.9
,high,4.2,17.5,0.1,2.1,6.1,0,0,3.8
,low,2.1,8.8,0,0.3,1.6,0,0.1,2.2
DeAndre Washington,MIA,4.2,10.2,0,1.4,5.5,0,0.1,2.9
,high,4.2,10.2,0,1.4,5.5,0,0.1,0
,low,4.2,10.2,0,1.4,5.5,0,0.1,0
Anthony McFarland Jr.,PIT,2.8,11.6,0.1,0.7,4.2,0,0,2.7
,high,5.9,22.5,0.1,1.8,7.2,0,0,3.2
,low,1,6,0,0.3,1.6,0,0.1,1.7
Darwin Thompson,KC,3.3,8.8,0.1,1.4,2.3,0,0,2.7
,high,5,16.7,0.1,3.7,3.7,0,0,2.4
,low,1.6,4.8,0,0.1,1,0,0.1,2.4
